AtomicNumber,Name,AtomicWeight,Symbol,MeltingPoint,BoilingPoint,Density,Year_Discovered,IonizationEnergy,Table_Row,Table_Column,ChemicalSeries,AtomicRadius,NaturalState,ThermalConductivity,SpecificHeat,ElectronAffinity,NumberOfIsotopes,Classification,CrystalStructure,Discoverer,Cost,NaturalForming,PrimaryUse
61,Promethium,147.000,Pm,,1100.0,7.2640000,1945,5.5820,8,8,Lanthanide,,unstable,17.90000,185.00,,15,metal,Hexagonal,J.A. Marinsky,,no,nuclear batteries
62,Samarium,150.400,Sm,1072,1900.0,7.5360000,1879,5.6437,8,9,Lanthanide,1.80,solid,13.30000,180.00,,16,metal,Rhombohedral,Paul Emile Lecoq de Boisbaudran,1.3,yes,lasers
63,Europium,152.000,Eu,822,1597.0,5.2430000,1901,5.6704,8,10,Lanthanide,2.04,solid,13.90000,176.00,,18,metal,Cubic body centered,Eugene Demarcay,36,yes,color TV tubes
64,Gadolinium,157.300,Gd,1311,3233.0,7.8950000,1880,6.1501,8,11,Lanthanide,1.80,solid,10.50000,230.00,,17,metal,Hexagonal,Jean de Marignac,1.91,yes,computer memory
65,Terbium,158.900,Tb,1360,3041.0,8.2720000,1843,5.8638,8,12,Lanthanide,1.77,solid,11.10000,183.00,,15,metal,Hexagonal,Carl Mosander,18,yes,fluorescent lamps
66,Dysprosium,162.500,Dy,1412,2562.0,8.5360000,1886,5.9389,8,13,Lanthanide,1.77,solid,10.70000,173.00,,18,metal,Hexagonal,Paul Emile Lecoq de Boisbaudran,2.1,yes,color TV tubes
67,Holmium,164.900,Ho,1470,2720.0,8.8030000,1878,6.0215,8,14,Lanthanide,1.76,solid,16.20000,165.00,,24,metal,Hexagonal,J.L. Soret,7.4,yes,eye-safe lasers
68,Erbium,167.300,Er,1522,2510.0,9.0510000,1843,6.1077,8,15,Lanthanide,1.75,solid,14.50000,168.00,,21,metal,Hexagonal,Carl Mosander,2.7,yes,coating for sunglasses
69,Thulium,168.900,Tm,1545,1727.0,9.3220000,1879,6.1843,8,16,Lanthanide,1.74,solid,16.90000,160.00,,16,metal,Hexagonal,Per Theodor Cleve,41,yes,lasers
70,Ytterbium,173.000,Yb,824,1466.0,6.9770000,1878,6.2542,8,17,Lanthanide,1.93,solid,34.90000,145.00,,15,metal,Cubic face centered,Jena de Marignac,5.3,yes,dentures
71,Lutetium,175.000,Lu,1656,3315.0,9.8420000,1907,5.4259,8,18,Lanthanide,1.73,solid,16.40000,155.00,,14,metal,Hexagonal,Georges Urbain,69,yes,dentures
72,Hafnium,178.500,Hf,2150,5400.0,13.1000000,1923,6.8251,6,4,Transition metal,1.59,solid,23.00000,146.00,0.000000,18,metal,Hexagonal,Dirk Coster,1.2,yes,nuclear submarines
73,Tantalum,180.900,Ta,2996,5425.0,16.6000000,1802,7.5496,6,5,Transition metal,1.43,solid,57.50000,140.00,0.322000,15,metal,Cubic body centered,Anders Ekeberg,1.2,yes,weights
74,Tungsten,183.900,W,3410,5660.0,19.3000000,1783,7.8640,6,6,Transition metal,1.37,solid,173.00000,133.00,0.815000,13,metal,Cubic body centered,Fausto & Juan Jose de Elhuyar,0.11,yes,lamp filaments
